"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Independent (No Label)",CAT1660255,199891651603,"URBANA LEYENDA",,"Chico Loco 40",2026-02-07,"Hip Hop/Rap","Hardcore Rap",6,QZ5FN2675997,"Desde Abajo",,"Chico Loco 40",,,02:00,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1660255,199891651603,"URBANA LEYENDA",,"Chico Loco 40",2026-02-07,"Hip Hop/Rap","Hardcore Rap",5,QZ5FN2675995,"No Vuelvo a La Tierra",,"Chico Loco 40",,,02:10,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1660255,199891651603,"URBANA LEYENDA",,"Chico Loco 40",2026-02-07,"Hip Hop/Rap","Hardcore Rap",4,QZ5FN2675994,"Weld Libari",,"Chico Loco 40",,,01:19,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1660255,199891651603,"URBANA LEYENDA",,"Chico Loco 40",2026-02-07,"Hip Hop/Rap","Hardcore Rap",3,QZ5FN2675991,"Dem Bla Khanzir",,"Chico Loco 40",,,01:55,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1660255,199891651603,"URBANA LEYENDA",,"Chico Loco 40",2026-02-07,"Hip Hop/Rap","Hardcore Rap",2,QZ5FN2675988,"Bar La La Man",,"Chico Loco 40",,,01:41,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1660255,199891651603,"URBANA LEYENDA",,"Chico Loco 40",2026-02-07,"Hip Hop/Rap","Hardcore Rap",1,QZ5FN2675954,"URBANA LEYENDA",,"Chico Loco 40",,,02:01,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1559109,199891014101,"DECODING THE SYSTEM",,"Chico Loco 40",2025-11-22,"Hip Hop/Rap","Maghreb Hip-Hop",1,QZZEB2501086,"DECODING THE SYSTEM",,"Chico Loco 40",,,02:25,"Hip Hop/Rap","Maghreb Hip-Hop"
"Independent (No Label)",CAT1535965,199502870850,"Majara (Freestyle)",,"Chico Loco 40",2025-11-09,"Hip Hop/Rap","Gangsta Rap",1,QZZ8B2565260,"MAJARA (Freestyle)",,"Chico Loco 40",,,01:06,"Hip Hop/Rap","Gangsta Rap"
"Independent (No Label)",CAT199749729812,199749729812,"Calle Oscura",,"Chico Loco 40",2025-10-26,"Hip Hop/Rap","Hip Hop/Rap",1,QT6E82591699,"Calle Oscura",,"Chico Loco 40",,,01:03,"Hip Hop/Rap","Hip Hop/Rap"
"Independent (No Label)",CAT199748282974,199748282974,"Liberi Tutti",,"Chico Loco 40",2025-10-24,"Hip Hop/Rap","Hip Hop/Rap",1,QT6E72572732,"LIBERI TUTTI",,"Chico Loco 40",,,01:21,"Hip Hop/Rap","Hip Hop/Rap"
"Independent (No Label)",CAT199747883929,199747883929,"Cara Tapada",,"Chico Loco 40",2025-10-18,"Hip Hop/Rap","Hip Hop/Rap",1,QT3FH2528142,"CARA TAPADA",,"Chico Loco 40",,,02:27,"Hip Hop/Rap","Hip Hop/Rap"
"Independent (No Label)",CAT1656725,199891616541,"No Soy Un Ladrón",,"Chico Loco 40",2024-08-29,"Hip Hop/Rap",Rap,1,QZ5FN2668569,"No Soy Un Ladrón",,"Chico Loco 40",,,02:08,"Hip Hop/Rap",Rap
